Label,PC1,PC2,PC3,PC4,PC5,PC6,SurveyID,biom,cover
912344477,-1.73968295,3.398826738,-0.305163127,-0.713155465,-0.573779207,-0.741833342,912344477,63716.64927,49
912344478,-4.082336484,4.254135964,-0.577402025,0.222444547,-0.954377583,-0.46608769,912344478,252398.2743,40
912344479,-8.176665608,1.063752001,-0.296290594,-0.12467471,0.197722005,-1.499817097,912344479,935048.9663,15
912344480,-1.878014854,0.979970112,-0.927200269,0.77782732,-0.72938186,0.310755293,912344480,54922.85239,30
912344481,-5.618435896,2.150901543,-0.49915495,0.927896981,-1.247903038,-0.741959839,912344481,247993.9081,36
912344483,-3.294937517,1.184198375,-1.342779769,0.527543336,-0.153314408,-0.297000314,912344483,115260.4249,28
912344484,-1.516181812,3.093427588,1.560701088,0.721977399,-0.252292886,-1.245134967,912344484,39513.9724,32
912344485,1.013502224,2.379087085,2.809764319,1.141792185,-0.251133835,-2.020659186,912344485,9208.26332,56
912344486,-3.648459782,2.302204318,-0.780866531,2.203410559,-0.336482343,-0.025096654,912344486,101043.3388,38
912344491,-2.333443883,1.924467137,-0.042463723,1.003477943,-0.628389188,-0.8326197,912344491,52043.91349,36
912344492,-2.065749183,0.828193186,0.811738683,2.472003423,-0.407396138,1.268135286,912344492,41442.18579,69
912344493,0.777814092,0.139718012,1.453162095,1.121826668,-0.268659357,1.283267276,912344493,9643.65431,71
912344494,-2.538812025,4.178288487,-0.779230064,1.389611636,-0.106097954,0.414808363,912344494,67232.87529,48
912344497,-4.928385433,0.939884049,-0.398589272,1.866888705,0.230912043,-0.751237129,912344497,151810.9322,45
912344499,-1.198443928,2.732212102,0.030806482,-0.272268765,0.538039819,-0.827594651,912344499,66209.45059,13
912344500,2.928018343,4.452962913,0.694631968,1.249520414,0.155074526,0.349163018,912344500,5126.307791,1
912344502,0.417116156,1.608393522,1.520027923,0.168483275,0.109399359,-2.607608499,912344502,17513.01136,37.77777778
912344503,-3.328171088,2.667168128,-0.390941378,1.253479445,-0.349270612,-0.108077497,912344503,81416.68924,33
912344504,3.30897611,-0.565292028,-0.173423215,0.472244077,-1.253343215,0.209389686,912344504,1902.955929,26
912344505,-5.534001084,3.446852472,0.424522918,-0.475664085,-1.932509309,-1.834253217,912344505,252596.401,21
912344506,0.630372607,1.669689428,0.211105863,1.385946829,0.083929662,-0.55414061,912344506,14273.77663,17
912344507,-0.227840251,0.813901145,-0.464848652,0.649530317,-0.856528769,-0.124725041,912344507,27242.77072,15
912344511,0.125818745,1.668075272,0.67196028,2.030277705,-0.573057664,0.20342908,912344511,17484.3607,44
912344513,0.531669593,1.00197643,-0.706777807,2.869651772,0.147449046,-0.084080484,912344513,13590.22635,18
912344515,1.477359557,1.272859294,-0.552811426,2.64819637,0.022096109,0.363523711,912344515,9430.56798,45
912344517,-2.41175159,-1.967135363,1.044711877,1.625356161,-0.220078416,-0.337856518,912344517,43212.88437,38
912344519,-0.01839219,3.40618785,0.369467356,1.482936687,-0.124498415,-0.637547009,912344519,19918.88035,69
912344522,-4.697254752,3.773617199,-0.543948926,0.950816951,-0.842849432,-0.225036133,912344522,213317.0514,25
912344525,-1.571527931,2.27462794,0.159032113,1.134227732,0.290607569,-0.892887878,912344525,47011.19461,36
912344526,-2.174786546,3.407671165,1.166688065,-0.177505154,-0.153471194,-2.78086949,912344526,75361.14078,17
912344536,-0.018328483,1.056416623,0.794932987,-0.483967843,-0.176020048,-2.114389155,912344536,24740.48325,17
912344539,-1.234832831,0.778710482,-0.292876957,0.504892187,-0.664972652,-1.544219693,912344539,34867.48498,78
912344541,0.668957848,3.541864697,0.878793065,0.734167865,-0.405989054,-1.116597198,912344541,16810.4267,71
912344546,-0.113918983,2.061939898,0.116732237,-0.995996038,0.368997205,-1.036340356,912344546,34373.38301,71
912344549,0.111602104,3.392649689,0.862789287,-1.08656928,0.784801566,-1.688339551,912344549,40687.39562,87
912344576,-3.206726112,-0.251161777,0.030063557,1.524470976,-0.760315644,-1.324417564,912344576,66978.84094,22
912344726,3.828011724,1.92223631,1.073409154,0.665612893,0.307005167,-0.50784425,912344726,1926.788931,43
912344727,4.020741943,1.930534174,0.724228503,1.333084708,0.582751352,-0.54636878,912344727,1809.6503,24
912344728,3.294090512,2.27494248,2.772477049,-0.161042779,0.200000149,-1.732686215,912344728,2683.469871,31
912344729,2.575047079,1.673797259,3.856513435,2.106059887,1.179054162,-1.991706122,912344729,3893.638006,31
912344730,2.474269433,-0.336218258,1.650230033,1.397464455,0.249623745,0.78319715,912344730,2706.786406,0
912344731,4.327993246,2.550765693,2.984455158,1.999144295,0.602349831,-1.58106501,912344731,862.118485,0
912344732,1.938935984,3.80824285,2.163456972,0.924064242,1.338742062,-1.419830023,912344732,9186.010965,61
912344733,3.99222119,2.678357962,2.442646227,0.988587548,0.233650496,-1.356673702,912344733,1427.143641,4
912344734,4.448129418,3.600270033,3.124001961,0.433263181,-0.096810679,-1.796203414,912344734,929.4099201,33
912344735,3.588956661,2.351590427,2.076041526,1.398081713,0.863079089,-0.791681323,912344735,2424.720767,18
912344736,2.198675149,2.947487104,2.228090718,-0.04333785,-0.068774813,-1.585525786,912344736,9597.465697,4
912344737,3.996144701,2.961852284,2.365439515,0.539421218,0.451435813,-1.371451663,912344737,1879.159157,2
912344738,2.787647235,3.549360594,3.134396817,0.999364334,1.016096123,-1.99822686,912344738,4938.140005,40
912344739,3.535904541,1.994143537,1.926079212,2.111236118,0.439623278,-0.520134749,912344739,2292.766918,20
912344740,1.986567136,2.52955957,0.826370018,0.212459519,0.135046021,-0.720124254,912344740,9194.780892,1
912344741,3.973765174,2.775363003,3.528237896,0.9320583,0.281168363,-3.033309676,912344741,1197.303287,47
912344742,3.298007821,2.854314289,2.43148183,-1.22607835,-0.423496933,-2.040498544,912344742,3155.061856,1
912344743,3.319184848,0.112764073,0.883211713,0.12109615,0.32099818,-0.791109633,912344743,2972.925632,24
912344744,3.47406327,3.380694304,2.713983974,0.910686744,0.478620049,-1.787534847,912344744,2696.130292,20
912344745,3.090057191,3.16312858,1.767646623,-1.325015057,0.770874917,-1.942450842,912344745,4677.143648,31
912344746,3.851815084,3.39977916,3.646052743,0.564540552,-0.04315406,-2.238021689,912344746,1380.823294,32
912344747,5.124769854,3.280944027,3.159800246,5.295745745,1.062855298,-0.472374243,912344747,710.0031611,15
912344748,3.801882679,2.995927708,3.210484299,2.378684928,1.246639131,-1.215588237,912344748,1867.731988,62
912344749,5.156757054,2.707308307,3.491516741,3.904862335,0.139494177,-1.130287755,912344749,400.5514388,3
912344750,4.345941232,3.41824423,2.583755663,1.703920808,0.675769569,-1.16453442,912344750,1172.880549,34
912344751,3.617600088,3.167367327,2.166599671,-0.731134656,0.115903846,-1.487010104,912344751,2506.689954,25
912344753,3.444073499,2.492542331,2.746361195,2.538998331,1.082351765,-1.664952293,912344753,2712.588826,27
912344754,3.278635396,3.252077178,2.870564605,2.567588552,1.235057503,-1.297835991,912344754,3630.772958,32
912344756,1.581431877,0.557317847,0.118105208,-0.595183334,-0.144462861,-0.839892917,912344756,15506.09528,8
912344757,2.773838771,0.090838444,0.432137701,0.883992233,0.387045953,-0.16440532,912344757,4405.672684,3
912344794,0.792049033,3.662945942,1.481183899,1.176768836,-0.45857935,-0.782720461,912344794,17383.64077,0
912344795,1.42035303,1.372103936,1.96707651,1.186501723,-1.342962114,-1.64211761,912344795,9375.948872,0
912344796,1.840324898,3.723920702,1.335263256,-0.199466322,-1.236055754,-0.766345632,912344796,8698.250207,0
912344797,1.831110551,1.930623763,1.7845546,0.061444534,-1.526064273,-1.819048084,912344797,7706.785421,0
912344798,3.532172119,2.260984238,2.459684106,-1.834857903,-1.084549041,-1.249226766,912344798,2800.260452,0
912344804,1.578282682,-0.763985136,2.549710454,0.271280473,-1.580021968,-0.631016565,912344804,7673.401504,0
912344805,1.956785716,0.419715913,1.61327831,-0.989055361,-1.131548175,0.7137938,912344805,6957.278843,0
